# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
15.883,2654.7,-11.381,88.385,5.0076e-6,3.1971
15.933,2658.5,-11.341,87.871,4.9687e-6,3.1971
15.983,2662.2,-11.299,87.359,4.999e-6,3.1971
16.033,2665.9,-11.298,86.849,4.9874e-6,3.1971
16.083,2669.5,-11.334,86.341,4.9585e-6,3.1971
16.133,2673.1,-11.396,85.834,4.9487e-6,3.1971
16.183,2676.7,-11.444,85.329,4.9345e-6,3.1971
16.233,2680.3,-11.434,84.826,4.9095e-6,3.1971
16.283,2683.8,-11.359,84.326,4.9324e-6,3.1971
16.333,2687.4,-11.296,83.827,4.9984e-6,3.1971
16.383,2690.8,-11.271,83.33,4.9657e-6,3.1971
16.433,2694.3,-11.195,82.835,4.9614e-6,3.1971
16.483,2697.7,-11.097,82.343,4.9715e-6,3.1971
16.533,2701.1,-11.025,81.852,4.9541e-6,3.1971
16.583,2704.5,-11.045,81.364,4.9678e-6,3.1971
16.633,2707.8,-11.057,80.877,4.9808e-6,3.1971
16.683,2711.2,-11.09,80.392,5.0175e-6,3.1971
16.733,2714.5,-11.104,79.909,5.025e-6,3.1971
16.783,2717.7,-11.065,79.428,5.0226e-6,3.1971
16.833,2721,-11.066,78.949,5.027e-6,3.1971
16.883,2724.2,-11.058,78.472,5.0256e-6,3.1971
16.933,2727.3,-11.036,77.997,5.035e-6,3.1971
16.983,2730.5,-10.996,77.523,5.0266e-6,3.1971
17.033,2733.6,-10.981,77.052,5.0251e-6,3.1971
17.083,2736.7,-11.003,76.583,5.0334e-6,3.1971
17.133,2739.8,-10.976,76.115,5.044e-6,3.1971
17.183,2742.8,-10.943,75.65,5.0546e-6,3.1971
17.233,2745.8,-10.921,75.187,5.0491e-6,3.1971
17.283,2748.8,-10.886,74.726,5.0435e-6,3.1971
17.333,2751.8,-10.826,74.266,5.0427e-6,3.1971
17.383,2754.7,-10.793,73.809,5.0289e-6,3.1971
17.433,2757.6,-10.778,73.354,5.0483e-6,3.1971
17.483,2760.5,-10.811,72.901,5.0506e-6,3.1971
17.533,2763.4,-10.836,72.451,5.0474e-6,3.1971
17.583,2766.2,-10.835,72.002,5.0603e-6,3.1971
17.633,2769,-10.831,71.555,5.0451e-6,3.1971
17.683,2771.8,-10.786,71.111,5.0382e-6,3.1971
17.733,2774.5,-10.748,70.669,5.0324e-6,3.1971
17.783,2777.2,-10.688,70.229,5.0374e-6,3.1971
17.833,2779.9,-10.652,69.791,5.0224e-6,3.1971
17.883,2782.6,-10.617,69.355,5.0246e-6,3.1971
17.933,2785.2,-10.611,68.921,5.0227e-6,3.1971
17.983,2787.8,-10.599,68.49,5.0563e-6,3.1971
18.033,2790.4,-10.571,68.061,5.0184e-6,3.1971
18.083,2793,-10.628,67.634,5.0055e-6,3.1971
18.133,2795.5,-10.686,67.209,4.9919e-6,3.1971
18.183,2798,-10.681,66.786,4.9964e-6,3.1971
18.233,2800.5,-10.662,66.366,4.994e-6,3.1971
18.283,2802.9,-10.63,65.948,4.9718e-6,3.1971
18.333,2805.4,-10.603,65.533,4.9886e-6,3.1971
18.383,2807.8,-10.532,65.12,4.9797e-6,3.1971
18.433,2810.1,-10.46,64.709,4.966e-6,3.1971
18.483,2812.5,-10.45,64.3,4.9655e-6,3.1971
18.533,2814.8,-10.448,63.894,4.958e-6,3.1971
18.583,2817.1,-10.44,63.491,4.9565e-6,3.1971
18.633,2819.4,-10.405,63.089,4.9813e-6,3.1971
18.683,2821.6,-10.425,62.69,4.9651e-6,3.1971
18.733,2823.8,-10.463,62.294,4.9633e-6,3.1971
18.783,2826,-10.473,61.9,4.9682e-6,3.1971
18.833,2828.2,-10.465,61.509,4.9736e-6,3.1971
18.883,2830.3,-10.445,61.12,4.9675e-6,3.1971
18.933,2832.4,-10.434,60.733,4.9721e-6,3.1971
18.983,2834.5,-10.444,60.35,4.9712e-6,3.1971
19.033,2836.6,-10.433,59.969,4.9844e-6,3.1971
19.083,2838.6,-10.372,59.59,4.9806e-6,3.1971
19.133,2840.6,-10.343,59.214,4.9818e-6,3.1971
19.183,2842.6,-10.351,58.841,4.9765e-6,3.1971
19.233,2844.5,-10.354,58.471,4.9756e-6,3.1971
19.283,2846.5,-10.33,58.104,4.9751e-6,3.1971
19.333,2848.4,-10.278,57.74,4.9756e-6,3.1971
19.383,2850.2,-10.267,57.378,4.9807e-6,3.1971
19.433,2852.1,-10.284,57.019,4.983e-6,3.1971
19.483,2853.9,-10.272,56.663,4.9773e-6,3.1971
19.533,2855.7,-10.273,56.311,4.9734e-6,3.1971
19.583,2857.5,-10.252,55.961,4.9765e-6,3.1971
19.633,2859.2,-10.263,55.614,4.9773e-6,3.1971
19.683,2861,-10.258,55.27,4.9707e-6,3.1971
19.733,2862.7,-10.265,54.93,4.9732e-6,3.1971
19.783,2864.3,-10.262,54.593,4.9718e-6,3.1971
19.833,2866,-10.279,54.259,4.9723e-6,3.1971
19.883,2867.6,-10.271,53.928,4.9818e-6,3.1971
